,Course Code,Course Names,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
140,AG60061,,0,0,0,1,0,0,0,0,0,0,100,0,0,0,Autumn20,7
141,AG60062,,3,8,3,1,0,0,0,20,53.33,20,6.67,0,0,0,Spring21,8.87
142,AG60080,,2,3,1,0,0,0,0,33.33,50,16.67,0,0,0,0,Spring21,9.17
143,AG60092,,0,2,0,2,0,0,0,0,50,0,50,0,0,0,Spring21,8
144,AG60096,,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring21,5
145,AG60100,,0,2,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
146,AG60105,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn19,6
147,AG60109,,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
148,AG60121,,5,18,15,6,0,0,0,11.36,40.91,34.09,13.64,0,0,0,Autumn20,8.5
149,AG60124,,0,0,2,0,0,0,0,0,0,100,0,0,0,0,Spring21,8
150,AG60124,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Spring20,8
151,AG60129,,1,4,6,1,0,0,0,8.33,33.33,50,8.33,0,0,0,Autumn20,8.42
152,AG60132,,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring21,5
153,AG60148,,0,2,0,0,0,0,0,0,100,0,0,0,0,0,Spring21,9
154,AG60164,,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring21,8.5
155,AG60301,,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Autumn20,8.5
156,AG60302,,0,1,1,0,0,0,0,0,50,50,0,0,0,0,Spring21,8.5
157,AG69004,,0,0,2,2,0,0,0,0,0,50,50,0,0,0,Spring21,7.5
158,AG69008,,1,1,0,0,0,0,0,50,50,0,0,0,0,0,Spring21,9.5
159,AG69014,,5,5,9,3,2,0,0,20.83,20.83,37.5,12.5,8.33,0,0,Spring21,8.33
160,AI42001,MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,51,101,44,6,1,0,1,25,49.51,21.57,2.94,0.49,0,0.49,Autumn20,8.94
161,AI42001,MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,3,4,8,3,0,0,0,16.67,22.22,44.44,16.67,0,0,0,Spring21,8.39
162,AI60002,,4,24,10,3,0,1,0,9.52,57.14,23.81,7.14,0,2.38,0,Spring21,8.62
163,AI60002,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Spring20,9
164,AI60002,,0,1,0,0,0,0,0,0,100,0,0,0,0,0,Autumn19,9
165,AI61002,,34,101,72,6,2,9,0,15.18,45.09,32.14,2.68,0.89,4.02,0,Spring21,8.59
166,AI61002,,0,0,0,0,0,3,0,0,0,0,0,0,100,0,Spring19,5
167,AI61002,,0,5,11,9,1,4,0,0,16.67,36.67,30,3.33,13.33,0,Spring20,7.4
168,AI61002,,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
169,AI61003,,27,56,13,9,4,0,0,24.77,51.38,11.93,8.26,3.67,0,0,Autumn20,8.85
170,AI61005,,18,69,34,11,4,2,2,12.86,49.29,24.29,7.86,2.86,1.43,1.43,Spring21,8.51
171,AI61005,,3,1,7,3,0,0,1,20,6.67,46.67,20,0,0,6.67,Spring20,8
172,AI61005,,7,9,18,9,3,0,1,14.89,19.15,38.3,19.15,6.38,0,2.13,Autumn20,8.09
173,AI61005,,0,0,0,0,1,0,0,0,0,0,0,100,0,0,Autumn19,6
174,AR12002,BUILDING MATERIALS,2,10,17,7,0,1,0,5.41,27.03,45.95,18.92,0,2.7,0,Spring18,8.11
175,AR12002,BUILDING MATERIALS,5,11,11,5,1,0,0,15.15,33.33,33.33,15.15,3.03,0,0,Spring19,8.42
176,AR12002,BUILDING MATERIALS,7,7,9,13,2,2,0,17.5,17.5,22.5,32.5,5,5,0,Spring20,7.95
177,AR12003,INTRODUCTION TO ARCHITECTURE,2,17,8,6,4,0,0,5.41,45.95,21.62,16.22,10.81,0,0,Autumn17,8.19
178,AR12003,INTRODUCTION TO ARCHITECTURE,2,6,7,8,6,4,0,6.06,18.18,21.21,24.24,18.18,12.12,0,Autumn18,7.33
179,AR12003,INTRODUCTION TO ARCHITECTURE,3,2,7,11,10,7,0,7.5,5,17.5,27.5,25,17.5,0,Autumn19,6.9
180,AR13201,BASIC DESIGN I,5,17,15,0,0,0,0,13.51,45.95,40.54,0,0,0,0,Autumn17,8.73
181,AR13201,BASIC DESIGN I,4,13,15,1,0,0,0,12.12,39.39,45.45,3.03,0,0,0,Autumn18,8.61
182,AR13201,BASIC DESIGN I,3,24,10,3,0,0,0,7.5,60,25,7.5,0,0,0,Autumn19,8.68
183,AR13202,BASIC DESIGN II  AND MODELING,3,13,10,8,2,1,0,8.11,35.14,27.03,21.62,5.41,2.7,0,Spring18,8.11
184,AR13202,BASIC DESIGN II  AND MODELING,1,4,9,7,5,7,0,3.03,12.12,27.27,21.21,15.15,21.21,0,Spring19,7.03
185,AR13202,BASIC DESIGN II  AND MODELING,4,18,13,4,1,0,0,10,45,32.5,10,2.5,0,0,Spring20,8.5
186,AR13203,DESCRIPTIVE GEOMETRY I,0,2,15,14,4,2,0,0,5.41,40.54,37.84,10.81,5.41,0,Autumn17,7.3
187,AR13203,DESCRIPTIVE GEOMETRY I,1,14,15,3,0,0,0,3.03,42.42,45.45,9.09,0,0,0,Autumn18,8.39
188,AR13203,DESCRIPTIVE GEOMETRY I,1,5,15,15,4,0,0,2.5,12.5,37.5,37.5,10,0,0,Autumn19,7.6
189,AR13204,DESCRIPTIVE GEOMETRY II,2,13,9,11,2,0,0,5.41,35.14,24.32,29.73,5.41,0,0,Spring18,8.05
190,AR13204,DESCRIPTIVE GEOMETRY II,2,8,10,12,0,1,0,6.06,24.24,30.3,36.36,0,3.03,0,Spring19,7.91
191,AR13204,DESCRIPTIVE GEOMETRY II,4,22,14,0,0,0,0,10,55,35,0,0,0,0,Spring20,8.75
192,AR13205,GRAPHICS AND VISUAL COMMUNICATION,10,12,13,1,1,0,0,27.03,32.43,35.14,2.7,2.7,0,0,Autumn17,8.78
193,AR13205,GRAPHICS AND VISUAL COMMUNICATION,0,8,9,10,5,1,0,0,24.24,27.27,30.3,15.15,3.03,0,Autumn18,7.55
194,AR13205,GRAPHICS AND VISUAL COMMUNICATION,3,7,11,8,3,8,0,7.5,17.5,27.5,20,7.5,20,0,Autumn19,7.38
195,AR22001,ADVANCED BUILDING MATERIALS AND COMPOSITES,5,10,15,3,3,1,0,13.51,27.03,40.54,8.11,8.11,2.7,0,Autumn18,8.22
196,AR22001,ADVANCED BUILDING MATERIALS AND COMPOSITES,5,10,16,2,0,0,0,15.15,30.3,48.48,6.06,0,0,0,Autumn19,8.55
197,AR22001,ADVANCED BUILDING MATERIALS AND COMPOSITES,3,10,24,3,0,0,0,7.5,25,60,7.5,0,0,0,Autumn20,8.33
198,AR22003,CLIMATOLOGY & SOLAR ARCHITECTURE,6,9,8,9,0,5,0,16.22,24.32,21.62,24.32,0,13.51,0,Autumn18,7.92
199,AR22003,CLIMATOLOGY & SOLAR ARCHITECTURE,6,15,4,3,2,3,0,18.18,45.45,12.12,9.09,6.06,9.09,0,Autumn19,8.33
200,AR22003,CLIMATOLOGY & SOLAR ARCHITECTURE,0,40,0,0,0,0,0,0,100,0,0,0,0,0,Autumn20,9
201,AR22004,WATER SUPPLY AND SANITATION,1,2,6,3,8,17,0,2.7,5.41,16.22,8.11,21.62,45.95,0,Spring19,6.22
202,AR22004,WATER SUPPLY AND SANITATION,0,6,11,8,5,3,0,0,18.18,33.33,24.24,15.15,9.09,0,Spring20,7.36
