,Subject Names,Profile Names
151,INTRODUCTION TO ASTRONOMY & ASTROPHYSICS,Mechanical Engineering
152,ELECTROMAGNETIC METHODS LABORATORY,Engineering Design Process
153,PERSONNEL MANAGEMENT AND INDUSTRIAL RELATIONS,Mechanical Engineering
154,OPERATIONS RESEARCH I,Mechanical Engineering
155,MARKET MICROSTRUCTURE,Mechanical Engineering
156,VLSI LABORATORY,Engineering Design Process
157,INDUSTRIAL PROCESSING OF FOODS AND BEVERAGES,Mechanical Engineering
158,SOCIOLOGY OF  SCIENCE,Mechanical Engineering
159,SYSTEM LABORATORY,Engineering Design Process
160,BIOCHEMISTRY LABORATORY,Engineering Design Process
161,UNDERGROUND COAL MINING,Mechanical Engineering
162,MATERIALS CHARACTERISATION LAB.,Physics and Engineering
163,GROUP THEORY FOR CHEMISTS,Mechanical Engineering
164,HEAT TRANSFER,Mechanical Engineering
165,COMPUTATIONAL MARINE HYDRODYNAMICS,Mechanical Engineering
166,HYDROCARBON PRODUCTION ENGINEERING,Environmental Engineering
167,NETWORK THEORY,Mechanical Engineering
168,SPEAKING AND PRESENTATION,Mechanical Engineering
169,SEDIMENTOLOGY LAB.,Physics and Engineering
170,MEASUREMENTS AND ELECTRONIC INSTRUMENTS,Mechanical Engineering
171,TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,Mechanical Engineering
172,POWER SYSTEMS LAB.,Physics and Engineering
173,STRUCTURAL DESIGN & COMPUTATION LAB,Physics and Engineering
174,STATISTICAL METHODS IN HYDROLOGY,Mechanical Engineering
175,STATISTICAL PHYSICS I,Physics and Engineering
176,GENETICS,Mechanical Engineering
177,INTRODUCTION TO EARTH SCIENCE,Mechanical Engineering
178,INDUSTRIAL INSTRUMENTATION,Mechanical Engineering
179,ADVANCED COMPLEX ANALYSIS,Mechanical Engineering
180,SYSTEMS PROGRAMMING LAB.,Physics and Engineering
181,PARTIAL DIFFERENTIAL EQUATIONS,Mechanical Engineering
182,COMPUTER INTEGRATED MANUFACTURING,Mechanical Engineering
183,STRUCTURAL HEALTH MONITORING,Mechanical Engineering
184,APPLIED ROCK ENGINEERING,Environmental Engineering
185,ELECTRONICS LAB.,Physics and Engineering
186,ARCHITECTURAL DETAILING,Mechanical Engineering
187,MACRO ECONOMICS I,Finance
188,SWITCHING CIRCUITS LABORATORY,Engineering Design Process
189,ENGINEERING GEOLOGY,Environmental Engineering
190,SEAKEEPING & MANEUVERING,Mechanical Engineering
191,IRRIGATION & DRAINAGE ENGINEERING,Environmental Engineering
192,QUANTUM MECHANICS II,Mechanical Engineering
193,SURVEYING PEACTICE,Mechanical Engineering
194,OFFSHORE TECHNOLOGY,Mechanical Engineering
195,GEOLOGY FOR ENGINEERS,Mechanical Engineering
196,GEOCHEMISTRY,Mechanical Engineering
197,SOFT COMPUTING,Mechanical Engineering
198,ELECTROMAGNETIC THEORY & APPL,Mechanical Engineering
199,MASS TRANSFER I,Mechanical Engineering
200,PROGAMMING AND DATA STRUCTURES,Mechanical Engineering
201,INSTRUMENTATION SYSTEM DESIGN,Engineering Design Process
202,APPLIED MICROPALEONTOLOGY LABORATORY,Engineering Design Process
203,EXTRACTIVE METALLURGY OF NON FERROUS METALS,Mechanical Engineering
204,DATA COMMUNICATION,Mechanical Engineering
205,ENVIRONMENTAL SOCIOLOGY,Mechanical Engineering
206,RESCUE AND DISASTER MANAGEMENT,Mechanical Engineering
207,REACTION ENGINEERING,Environmental Engineering
208,VISCOUS FLOW THEORY,Mechanical Engineering
209,ENGINEERING DRAWING AND COMPUTER GRAPHICS,Environmental Engineering
210,EMBEDDED SYSTEMS,Mechanical Engineering
211,DESIGN AND DYNAMICS  LABORATORY,Engineering Design Process
212,ENVIRONMENTAL IMPACT ASSESSMENT AND AUDITING,Mechanical Engineering
213,SURFACE ENGINEERING,Environmental Engineering
214,ENVIRONMENTAL HAZARDS AND MITIGATION,Mechanical Engineering
215,DESIGN FOR ASSEMBLY AND AUTOMATION,Engineering Design Process
216,TRACTOR & POWER SYSTEMS,Mechanical Engineering
217,MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,Physics and Engineering
218,CONTROL AND INSTRUMENTATION LAB.,Physics and Engineering
219,AEROELASTICITY,Mechanical Engineering
220,SOLID MECHANICS,Mechanical Engineering
221,MATHEMATICAL METHODS  II,Mechanical Engineering
222,ENERGY ECONOMICS,Finance
223,FLUID MECHANICS AND ELASTICITY,Mechanical Engineering
224,THERMODYNAMICS,Mechanical Engineering
225,SYSTEMS & CONTROL,Mechanical Engineering
226,COMPREHENSIVE VIVA VOCE   I,Mechanical Engineering
227,MATHEMATICS I,Mechanical Engineering
228,INTRODUCTION TO ENGINEERING MATERIALS LAB.,Environmental Engineering
229,PAVEMENT MATERIALS,Mechanical Engineering
230,SEISMOLOGY,Mechanical Engineering
231,TRACTOR & POWER SYSTEMS LABORATORY,Engineering Design Process
232,ORGANIC FOOD CHAIN MANAGEMENT,Mechanical Engineering
233,PETROLOGY,Mechanical Engineering
234,ARCHITECTURAL DESIGN III & FIELD STUDY,Engineering Design Process
235,ADVANCED NUMERICAL TECHNIQUES,Mechanical Engineering
236,COMPOSITE STRUCTURES,Mechanical Engineering
237,GROUND IMPROVEMENT,Mechanical Engineering
238,BIOCHEM. REACTION ENGG. AND BIOENERGETICS,Mechanical Engineering
239,FORMAL LANGUAGE AND AUTOMATA THEORY,Mechanical Engineering
240,STRUCTURAL ANALYSIS,Mechanical Engineering
241,INTRODUCTION TO QUANTUM CHEMISTRY & SPECTROSCOPY,Mechanical Engineering
242,COMPUTER ORGANIZATION & ARCHITECTURE,Mechanical Engineering
243,PLANT CELL TISSUE CULTURE,Mechanical Engineering
244,POWDER METALLURGY,Mechanical Engineering
245,DEVELOPMENT ECONOMICS,Finance
246,PALEONTOLOGY LAB.,Physics and Engineering
247,CLASSICAL MECHANICS II,Mechanical Engineering
248,MINERALOGY,Mechanical Engineering
249,PHYSICS,Physics and Engineering
250,X RAY DIFFRACTION & TRANSMISSION ELECTRON MICROSCOPY LABORATORY,Engineering Design Process
251,CHEMISTRY LAB.,Physics and Engineering
252,INTERNATIONAL TRADE,Mechanical Engineering
253,WATER RESOURCES ENGG. LABORATORY,Engineering Design Process
254,MARINE STRUCTURAL LABORATORY,Engineering Design Process
255,GROUNDWATER GEOLOGY LABORATORY,Engineering Design Process
256,ALGORITHMS  II,Mechanical Engineering
257,GENERAL PSYCHOLOGY,Mechanical Engineering
258,INSTRUMENTATION DEVICES LABORATORY,Engineering Design Process
259,OBJECT ORIENTED SYSTEMS DESIGN,Engineering Design Process
260,SCIENCE AND HUMANISM,Mechanical Engineering
261,INSTRUMENTATION LABORATORY II,Engineering Design Process
262,THERMO FLUIDS LAB.   I,Physics and Engineering
263,GEOPHYSICAL PROSPECTING LAB.,Physics and Engineering
264,DESIGN & ANALYSIS OF ALGORITHMS,Engineering Design Process
265,VISUAL COMMUNICATION,Mechanical Engineering
266,ELECTRIC DRIVES,Mechanical Engineering
267,OPERATION RESEARCH,Mechanical Engineering
268,METALLURGICAL THERMODYNAMICS AND KINETICS,Mechanical Engineering
269,"CASTING, FORMING AND WELDING",Mechanical Engineering
270,INVESTMENT MANAGEMENT,Mechanical Engineering
271,GEOMETRIC MODELLING FOR DESIGN AND MANUFACTURE,Engineering Design Process
272,METABOLIC ENGINEERING,Environmental Engineering
273,HYDROSTATICS AND STABILITY,Mechanical Engineering
274,DESIGN OF MACHINE ELEMENTS,Engineering Design Process
275,FOOD ENGINEERING LAB.,Environmental Engineering
276,MACHINE DESIGN PRACTICE,Engineering Design Process
277,NON TRADITIONAL MANUFACTURING PROCESSES,Mechanical Engineering
278,MINING MACHINERY LABORATORY,Engineering Design Process
279,MARINE HYDRODYNAMICS,Mechanical Engineering
280,QUALITY DESIGN AND CONTROL LABORATORY,Engineering Design Process
281,GEOPHYSICAL FIELDWORK   I,Mechanical Engineering
282,DISCRETE MATHEMATICS,Mechanical Engineering
283,COMPUTATIONAL METHODS,Mechanical Engineering
284,QUALITY DESIGN AND CONTROL,Engineering Design Process
285,GEOPHYSICAL SIGNAL PROCESSING,Mechanical Engineering
286,DESIGN & ANALYSIS OF ALGORITHMS LAB.,Physics and Engineering
287,NUCLEAR GEOPHYSICS LABORATORY,Engineering Design Process
288,AGRICULTURAL MACHINERY LAB.,Physics and Engineering
289,POSITIVE PSYCHOLOGY,Mechanical Engineering
290,NETWORK THEORY LAB.,Physics and Engineering
291,MINE SURVEYING,Mechanical Engineering
292,ADVANCED STRUCTURAL GEOLOGY,Mechanical Engineering
293,FOOD SCIENCE & TECHNOLOGY LABORATORY,Engineering Design Process
294,ELECTROMAGNETISM & OPTICS LAB   III,Physics and Engineering
295,Aeroelasticity and Unsteady Aerodynamics in Turbomachinery,Mechanical Engineering
296,PHYSICAL CHEMISTRY LABORATORY I,Engineering Design Process
297,PETROLEUM ECONOMICS AND MANAGEMENT,Finance
298,INDUSTRIAL TRAINING,Mechanical Engineering
299,SOLID STATE CHEMISTRY,Mechanical Engineering
300,SYSTEMS PROGRAMMING,Mechanical Engineering
301,FUNDAMENTALS OF RURAL INNOVATION AND MANAGEMENT,Mechanical Engineering
302,"CREEP, FATIGUE AND FRACTURE",Mechanical Engineering
303,ENGINEERING & ECONOMIC GEOLOGY,Environmental Engineering
304,COMPUTATIONAL STATISTICS,Mechanical Engineering
305,TRANSPORT PHENOMENA,Mechanical Engineering
306,EXTRA ACADEMIC ACTIVITY IV,Mechanical Engineering
307,DESIGN FOR MANUFACTURABILITY,Engineering Design Process
308,COMPOSITE MATERIALS,Mechanical Engineering
309,MODERN ALGEBRA,Mechanical Engineering
310,ARCHITECTURAL DESIGN IV AND FIELD STUDY,Engineering Design Process
311,ROCK MECHANICS AND TUNNELLING,Mechanical Engineering
312,GEOPHYSICAL PROSPECTING,Mechanical Engineering
313,INTRODUCTION TO INTERNET,Mechanical Engineering
314,INTRODUCTION TO WIRELESS COMMUNICATIONS,Mechanical Engineering
315,REGRESSION AND TIME SERIES MODEL,Mechanical Engineering
316,RESISTANCE AND PROPULSION,Mechanical Engineering
317,GEOCHEMISTRY LAB.,Physics and Engineering
318,STOCHASTIC PROCESSES,Mechanical Engineering
319,INORGANIC CHEMISTRY II,Mechanical Engineering
320,ANALYTICAL & ENVIRONMENTAL CHEMISTRY,Mechanical Engineering
321,MATHEMATICAL METHODS I,Mechanical Engineering
322,PRINCIPLES OF ORGANIC SYNTHESIS,Mechanical Engineering
323,ECONOMETRIC ANALYSIS II LABORATORY,Engineering Design Process
324,CELL & MOLECULAR BIOLOGY,Mechanical Engineering
325,PROPULSION LABORATORY,Engineering Design Process
326,PHASE TRANSFORMATION AND HEAT TREATMENT OF MATERIALS,Mechanical Engineering
327,CONCRETE LABORATORY,Engineering Design Process
328,DYNAMICS OF MACHINES,Mechanical Engineering
329,PAVEMENT DESIGN,Engineering Design Process
330,INDIAN ECONOMY,Mechanical Engineering
331,METAMORPHIC PETROLOGY,Mechanical Engineering
332,DIGITAL COMMUNICATION LABORATORY,Engineering Design Process
333,ELECTRICAL MACHINES,Mechanical Engineering
334,MODERN METHODS OF MANUFACTURING,Mechanical Engineering
335,POWER SYSTEMS,Mechanical Engineering
336,ECONOMICS,Finance
337,ARCHITECTURAL DESIGN I AND FIELD STUDY,Engineering Design Process
338,PROGRAMMING AND DATA STRUCTURES,Mechanical Engineering
339,INTRODUCTION TO FINANCIAL MANAGEMENT,Mechanical Engineering
340,BUILDING CONSTRUCTION II,Mechanical Engineering
341,INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION,Mechanical Engineering
342,AIR CONDITIONING,Mechanical Engineering
343,AIRCRAFT STABILITY AND CONTROL,Mechanical Engineering
344,AGRICULTURAL MACHINERY,Mechanical Engineering
345,ENVIRONMENTAL BIOTECHNOLOGY,Mechanical Engineering
346,DESIGN SESSIONAL,Engineering Design Process
347,HOUSING AND COMMUNITY PLANNING,Mechanical Engineering
348,ENVIRONMENTAL ENGG. LAB.,Physics and Engineering
349,INORGANIC CHEMISTRY LABORATORY I,Engineering Design Process
350,ELECTRICAL METHODS OF  PROSPECTING,Mechanical Engineering
351,VLSI ENGG.,Mechanical Engineering
352,INSTRUMENTATION DEVICES II,Mechanical Engineering
353,GRAVITY & MAGNETIC METHODS OF PROSPECTING,Mechanical Engineering
354,STATISTICS FOR ECONOMICS,Finance
355,GROUNDWATER GEOLOGY,Mechanical Engineering
356,LAND & WATER RESOURCES ENGINEERING LAB.,Environmental Engineering
357,LANDSCAPE DESIGN & SITE PLANNING,Engineering Design Process
358,ADVANCES IN PROTEIN STRUCTURE AND FUNCTION,Mechanical Engineering
359,DATABASE MANAGEMENT SYSTEMS,Mechanical Engineering
360,INORGANIC CHEMISTRY III,Mechanical Engineering
361,SOIL MECHANICS LABORATORY,Engineering Design Process
362,ELEMENTS OF ROCK MECHANICS,Mechanical Engineering
363,MICROBIOLOGY,Mechanical Engineering
364,FINANCIAL ANALYTICS,Mechanical Engineering
365,ROCK MECHANICS LABORATORY,Engineering Design Process
366,ERGONOMICS AND  PRODUCT DESIGN,Engineering Design Process
367,NATURAL GAS ENGINEERING,Environmental Engineering
368,MECHANICAL TESTING AND WORKING LAB.,Physics and Engineering
369,IGNEOUS PETROLOGY LAB.,Physics and Engineering
370,DESIGN OF STEEL STRUCTURES,Engineering Design Process
371,STOCHASTIC PROCESSES IN FINANCE,Mechanical Engineering
372,NUMERICAL TECHNIQUES LABORATORY,Engineering Design Process
373,WORK SYSTEM DESIGN,Engineering Design Process
374,ILLUMINATION AND ELECTRICAL SERVICES,Mechanical Engineering
375,COMPLEX ANALYSIS,Mechanical Engineering
376,MICRO ECONOMICS I,Finance
377,PALEONTOLOGY,Mechanical Engineering
378,MINE SAFETY & LEGISLATION,Mechanical Engineering
379,SOFT COMPUTING TOOLS IN ENGINEERING,Environmental Engineering
380,COMPILERS,Mechanical Engineering
381,THERMO FLUID SCIENCE,Mechanical Engineering
382,INSTRUMENTATION & PROCESS CONTROL,Mechanical Engineering
383,SOFTWARE ENGINEERING,Environmental Engineering
384,COMPUTER NETWORKS,Mechanical Engineering
385,ATOMIC AND MOLECULAR PHYSICS,Mechanical Engineering
386,PRODUCTION DESIGN AND PROCESS PLANNING,Engineering Design Process
387,BASIC DESIGN I,Engineering Design Process
388,APPLIED MICROPALEONTOLOGY,Mechanical Engineering
389,MECHANICS OF SOLIDS LABORATORY,Engineering Design Process
390,SEISMIC METHODS LAB.,Physics and Engineering
391,CORROSION & ENVIRONMENTAL DEGRADATION OF MATERIALS,Mechanical Engineering
392,PALEONTOLOGY AND  STRATIGRAPHY,Mechanical Engineering
393,MICRO ECONOMICS II,Finance
394,FIELD TRIPS,Mechanical Engineering
395,SYSTEMS ENGINEERING,Environmental Engineering
396,CONDENSED MATTER PHYSICS II,Physics and Engineering
397,DESIGN OF HYDRAULIC STRUCTURES,Engineering Design Process
398,INTRODUCTION TO MANUFACTURING PROCESSES,Mechanical Engineering
399,HYDRODYNAMICS LABORATORY,Engineering Design Process
400,ORDER AND CHAOS,Mechanical Engineering
401,ALGORITHMS LABORATORY,Engineering Design Process
402,ENVIRONMENTAL SCIENCE,Mechanical Engineering
403,SOLID WASTE MANAGEMENT,Mechanical Engineering
404,SIGNALS & NETWORKS LAB.,Physics and Engineering
405,INTRODUCTION TO SOCIOLOGY,Mechanical Engineering
406,ENZYME TECHNOLOGY LABORATORY,Engineering Design Process
407,MODERNISATION AND CREATIVE COMMUNICATION,Mechanical Engineering
408,HISTORY OF ARCHITECTURE II,Mechanical Engineering
409,WATER RESOURCES ENGG.,Mechanical Engineering
410,MATERIALS PROCESSING,Mechanical Engineering
411,POLYMER TECHNOLOGY,Mechanical Engineering
412,MINE HAZARDS AND RESCUE LABORATORY,Engineering Design Process
413,ALGORITHMS   I,Mechanical Engineering
414,"CASTING, FORMING AND WELDING LAB.",Physics and Engineering
415,MATERIAL SCIENCE,Mechanical Engineering
416,ELECTRODYNAMICS I,Mechanical Engineering
417,MECHANICAL OPERATIONS,Mechanical Engineering
418,UNSTEADY AERODYNAMICS,Mechanical Engineering
419,LASER APPLICATIONS IN MANUFACTURING,Mechanical Engineering
420,ORGANIC CHEMISTRY I,Mechanical Engineering
421,DATA ANALYTICS,Mechanical Engineering
422,PRODUCT DEVELOPMENT,Mechanical Engineering
423,WORKSHOP PROCESS II,Mechanical Engineering
424,CONDENSED MATTER PHYSICS LAB I,Physics and Engineering
425,LOW SPEED AERODYNAMICS,Mechanical Engineering
426,TRANSPORTATION ENGG. LAB,Physics and Engineering
427,FIELD WORK,Mechanical Engineering
428,MACRO ECONOMICS II,Finance
429,RUBBER PROCESS ENGINEERING,Environmental Engineering
430,BASIC ELECTRONICS LAB.,Physics and Engineering
431,BANKING THEORY AND PRACTICE,Mechanical Engineering
432,AUTOMATIC CONTROL OF AIRCRAFT,Mechanical Engineering
433,CELL & MOLECULAR BIOLOGY LABORATORY,Engineering Design Process
434,BIOINFORMATICS,Mechanical Engineering
435,SANSKRIT AND HERITAGE,Mechanical Engineering
436,MASS TRANSFER LABORATORY,Engineering Design Process
437,ELECTRONICS FOR PHYSICISTS,Mechanical Engineering
438,ORGANIC CHEMISTRY III,Mechanical Engineering
439,FOOD RHEOLOGY,Mechanical Engineering
440,MACHINE LEARNING FOUNDATIONS AND APPLICATIONS,Mechanical Engineering
441,THEORY OF COMPUTATION,Mechanical Engineering
442,ELECTRICAL MACHINES LAB.,Physics and Engineering
443,INTEGRAL EQUATIONS AND VARIATIONAL METHODS,Mechanical Engineering
444,DEVICES LABORATORY,Engineering Design Process
445,ADVANCED QUANTITATIVE DECISION MAKING,Mechanical Engineering
446,MATHEMATICAL METHODS,Mechanical Engineering
447,ELECTRODYNAMICS II,Mechanical Engineering
448,X RAY DIFFRACTION & TRANSMISSION ELECTRON MICROSCOPY,Mechanical Engineering
449,BIOCHEMICAL ENGINEERING,Environmental Engineering
450,PHYSICS OF FLUID FLOW EXPERIMENTS,Mechanical Engineering
451,MARINE DESIGN LABORATORY   II,Engineering Design Process
452,ENERGY EFFICIENT DESIGN,Engineering Design Process
453,BUILDING ACOUSTICS,Mechanical Engineering
454,STRUCTURES LAB  I,Physics and Engineering
455,OIL AND GAS WELL TESTING AND ENHANCED OIL RECOVERY,Mechanical Engineering
456,STRUCTURES LAB  II,Physics and Engineering
457,ORGANIC CHEMISTRY LABORATORY I,Engineering Design Process
458,BIOINFORMATICS LABORATORY,Engineering Design Process
459,HYPERSONIC AERODYNAMICS,Mechanical Engineering
460,MATHEMATICS II,Mechanical Engineering
